date,desktop-#0,desktop-#1,desktop-#2,desktop-#3,desktop-#4,desktop-#5,desktop-#6,desktop-#7,desktop-#8,desktop-#9,desktop-#10,desktop-#11,desktop-#12,desktop-#13,desktop-#14,desktop-#15,desktop-#16,desktop-#17,desktop-#18,desktop-#19,desktop-#20,desktop-#21,desktop-#22,desktop-#23,desktop-#24,desktop-#25,desktop-#26,desktop-#27,desktop-#28,desktop-#29,desktop-#30,desktop-#31,desktop-#32,desktop-#33,desktop-#34,desktop-#35,desktop-#36,desktop-#37,desktop-#38,desktop-#39
2021-12-14 15:00:00 +0000 UTC,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155
2021-12-14 15:01:00 +0000 UTC,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155
2021-12-14 15:02:00 +0000 UTC,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155
2021-12-14 15:03:00 +0000 UTC,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155
2021-12-14 15:04:00 +0000 UTC,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155
2021-12-14 15:05:00 +0000 UTC,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155
2021-12-14 15:06:00 +0000 UTC,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155
2021-12-14 15:07:00 +0000 UTC,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155
2021-12-14 15:08:00 +0000 UTC,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155
2021-12-14 15:09:00 +0000 UTC,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155,31.155
