Report,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
x_val,BASIC,ORIGINAL,OPTIMIZED,ENHANCED-V1,,RASPBERRY,,,,OPT-ORI,ENH-ORI,,RASP-BAS,ENH-BAS
375,637.56,1777.48,1971.742,881.822,,231.8,,,,-10.9290681189099,,,63.642637555681,
750,875.6,2015.52,2108.467,999.124,,259.76,,,,-4.61156426133207,,,70.3334856098675,
1125,1110.52,2250.44,2162.453,1123.046,,729.837,,,,3.9097687563321,,,34.2797068040197,
1500,1314.52,2454.44,2195.6,1233.728,,1023.152,,,,10.5457864115644,,,22.1653531327024,
1875,1478.8,2618.72,2330.083,1351.03,,1115.437,,,,11.0220642145781,,,24.5714768731404,
2250,1607.44,2747.36,2452.859,1576.718,,1246.825,,,,10.7194179139246,,,22.4341188473598,
2625,1711.72,2851.64,2486.148,1589.015,,1271.512,,,,12.8169053597228,,,25.7172902110158,
3000,1805.92,2945.84,2550.002,1896.05,,1577.501,,,,13.4371859978818,,,12.6483454416586,
3375,1903.48,3043.4,2674.231,2014.025,,1677.574,,,,12.130150489584,,,11.86805219913,
3750,2014.52,3154.44,2797.126,1937.54,,1800.477,,,,11.3273354383028,,,10.6250124099041,
4125,2144.16,3284.08,2813.554,2273.088,,1816.897,,,,14.3274828871404,,,15.2629934333259,
4500,2291.56,3431.48,2872.346,2436.378,,2132.518,,,,16.2942520428503,,,6.94033758662221,
4875,2450.24,3590.16,3005.021,2570.524,,2226.322,,,,16.2984100987143,,,9.13861499281702,
5250,2609.16,3749.08,3117.856,2715.596,,2339.184,,,,16.836770621059,,,10.3472381916019,
5625,2754.56,3894.48,3140.072,2922.088,,2361.416,,,,19.3712125880734,,,14.2724790892193,
6000,2873,4012.92,3359.453,3149.056,,2798.764,,,,16.2840774299014,,,2.58391924817264,
6375,2955.2,4095.12,3360.768,3144.656,,2800.074,,,,17.9323682822481,,,5.24925554953979,
6750,3000.8,4140.72,3475.38,3050.8,,2914.7,,,,16.0682200197067,,,2.86923487070116,
7125,3024.04,4163.96,3458.44,3074.04,,2897.76,,,,16.9434864888231,,,4.17587068954114,
7500,3060.56,4200.48,3763.645,3110.56,,3025.425,,,,10.3996448024988,,,1.14799252424392,
