date,crownlabs,desktop,laptop-fulvio,raspi
2021-12-14 15:00:00 +0000 UTC,49.094,9.622,91.830,27.086
2021-12-14 15:01:00 +0000 UTC,49.094,9.622,91.830,27.086
2021-12-14 15:02:00 +0000 UTC,49.094,9.622,91.830,27.086
2021-12-14 15:03:00 +0000 UTC,49.094,9.622,91.830,27.086
2021-12-14 15:04:00 +0000 UTC,49.094,9.622,91.830,27.086
2021-12-14 15:05:00 +0000 UTC,49.094,9.622,91.830,27.086
2021-12-14 15:06:00 +0000 UTC,49.094,9.622,91.830,27.086
2021-12-14 15:07:00 +0000 UTC,49.094,9.622,91.830,27.086
2021-12-14 15:08:00 +0000 UTC,49.094,9.622,91.830,27.086
2021-12-14 15:09:00 +0000 UTC,49.094,9.622,91.830,27.086
