date,infrastructure0-OPTIMIZED,infrastructure0-ENHANCED,infrastructure1-OPTIMIZED,infrastructure1-ENHANCED,infrastructure2-OPTIMIZED,infrastructure2-ENHANCED,infrastructure3-OPTIMIZED,infrastructure3-ENHANCED,infrastructure4-OPTIMIZED,infrastructure4-ENHANCED,infrastructure5-OPTIMIZED,infrastructure5-ENHANCED,infrastructure6-OPTIMIZED,infrastructure6-ENHANCED,infrastructure7-OPTIMIZED,infrastructure7-ENHANCED,infrastructure8-OPTIMIZED,infrastructure8-ENHANCED,infrastructure9-OPTIMIZED,infrastructure9-ENHANCED,infrastructure10-OPTIMIZED,infrastructure10-ENHANCED,infrastructure11-OPTIMIZED,infrastructure11-ENHANCED,infrastructure12-OPTIMIZED,infrastructure12-ENHANCED,infrastructure13-OPTIMIZED,infrastructure13-ENHANCED,infrastructure14-OPTIMIZED,infrastructure14-ENHANCED
2021-12-14 15:00:00 +0000 UTC,689.874,309.276,680.208,299.610,685.587,304.989,709.589,328.991,742.218,361.620,825.196,444.598,853.522,478.942,951.123,570.525,968.125,777.826,972.061,781.762,985.763,795.464,1106.716,916.417,1140.210,950.801,1203.057,1012.758,1233.941,1043.642
2021-12-14 15:01:00 +0000 UTC,689.874,309.276,680.208,299.610,685.587,304.989,709.589,328.991,742.218,361.620,825.196,444.598,853.522,478.942,951.123,570.525,968.125,777.826,972.061,781.762,985.763,795.464,1106.716,916.417,1140.210,950.801,1203.057,1012.758,1233.941,1043.642
2021-12-14 15:02:00 +0000 UTC,689.874,309.276,680.208,299.610,685.587,304.989,709.589,328.991,742.218,361.620,825.196,444.598,853.522,478.942,951.123,570.525,968.125,777.826,972.061,781.762,985.763,795.464,1106.716,916.417,1140.210,950.801,1203.057,1012.758,1233.941,1043.642
2021-12-14 15:03:00 +0000 UTC,689.874,309.276,680.208,299.610,685.587,304.989,709.589,328.991,742.218,361.620,825.196,444.598,853.522,478.942,951.123,570.525,968.125,777.826,972.061,781.762,985.763,795.464,1106.716,916.417,1140.210,950.801,1203.057,1012.758,1233.941,1043.642
2021-12-14 15:04:00 +0000 UTC,689.874,309.276,680.208,299.610,685.587,304.989,709.589,328.991,742.218,361.620,825.196,444.598,853.522,478.942,951.123,570.525,968.125,777.826,972.061,781.762,985.763,795.464,1106.716,916.417,1140.210,950.801,1203.057,1012.758,1233.941,1043.642
2021-12-14 15:05:00 +0000 UTC,689.874,309.276,680.208,299.610,685.587,304.989,709.589,328.991,742.218,361.620,825.196,444.598,853.522,478.942,951.123,570.525,968.125,777.826,972.061,781.762,985.763,795.464,1106.716,916.417,1140.210,950.801,1203.057,1012.758,1233.941,1043.642
2021-12-14 15:06:00 +0000 UTC,689.874,309.276,680.208,299.610,685.587,304.989,709.589,328.991,742.218,361.620,825.196,444.598,853.522,478.942,951.123,570.525,968.125,777.826,972.061,781.762,985.763,795.464,1106.716,916.417,1140.210,950.801,1203.057,1012.758,1233.941,1043.642
2021-12-14 15:07:00 +0000 UTC,689.874,309.276,680.208,299.610,685.587,304.989,709.589,328.991,742.218,361.620,825.196,444.598,853.522,478.942,951.123,570.525,968.125,777.826,972.061,781.762,985.763,795.464,1106.716,916.417,1140.210,950.801,1203.057,1012.758,1233.941,1043.642
2021-12-14 15:08:00 +0000 UTC,689.874,309.276,680.208,299.610,685.587,304.989,709.589,328.991,742.218,361.620,825.196,444.598,853.522,478.942,951.123,570.525,968.125,777.826,972.061,781.762,985.763,795.464,1106.716,916.417,1140.210,950.801,1203.057,1012.758,1233.941,1043.642
2021-12-14 15:09:00 +0000 UTC,689.874,309.276,680.208,299.610,685.587,304.989,709.589,328.991,742.218,361.620,825.196,444.598,853.522,478.942,951.123,570.525,968.125,777.826,972.061,781.762,985.763,795.464,1106.716,916.417,1140.210,950.801,1203.057,1012.758,1233.941,1043.642
